Corrected_Strain Ht_.in. Ht_.cm. Yld_.bu.a. Yld_.kg.ha. Moisture Protein Oil Fiber X100_sdwt_.g.
DS11-27183 35 88.9 45.3 3046.43 6.61 32.4 20.59 4.81 13.32
DS11-27184 36 91.44 40.5 2723.63 6.68 33.42 19.63 4.86 12.95
LG05-4317 33 83.82 45.2 3039.7 6.76 34 20.7 4.65 14.61
DS11-28105 41 104.14 42.5 2858.13 6.8 32.48 19.72 4.93 14.61
DS11-28108 38 96.52 51 3429.75 6.65 30.66 20.78 4.98 14.96
DS11-28109 36 91.44 45.4 3053.15 6.76 33.55 20.89 4.69 14.79
DS11-28112 36 91.44 52.1 3503.73 6.75 31.38 21.44 4.75 16.83
DS11-28114 32 81.28 48 3228 6.55 33 20.96 4.72 14.3
DS11-28116 36 91.44 48.3 3248.18 6.69 31.86 20.8 4.82 13.87
DS11-28117 36 91.44 46 3093.5 6.6 31.55 20.62 4.92 17.57
DS11-28119 44 111.76 48.9 3288.53 6.63 33.39 19.91 4.83 13.7
DS11-28122 33 83.82 54.9 3692.03 6.58 32.57 20.81 4.76 16.02
DS11-28126 37 93.98 50.3 3382.68 6.88 32.13 21.3 4.71 15.62
DS11-28128 38 96.52 42.4 2851.4 6.44 31.74 20.87 4.87 14.99
DS11-28130 42 106.68 44.2 2972.45 6.49 32.69 20.28 4.89 13.7
DS11-28131 37 93.98 51.7 3476.83 6.22 31.23 21.25 4.8 16.14
DS11-28132 39 99.06 43.5 2925.38 6.36 33.54 19.78 4.85 12.46
DS11-28133 32 81.28 53.8 3618.05 6.12 33.13 20.08 4.86 14.5
DS11-28135 34 86.36 49.1 3301.98 6.7 32.64 20.73 4.76 16.54
DS11-28136 36 91.44 38.3 2575.68 6.65 32.69 20.2 4.84 13.24
DS11-28137 37 93.98 57.2 3846.7 6.68 32.36 21.02 4.77 14.36
DS11-28138 33 83.82 61.4 4129.15 6.67 32.31 21.63 4.67 16.51
DS11-28139 44 111.76 48.7 3275.08 6.75 32.92 20.41 4.82 13.12
DS11-28140 41 104.14 50.1 3369.23 6.81 32.95 20.11 4.81 15.3
DS11-28141 36 91.44 47.9 3221.28 6.68 30.31 21.34 4.85 15.16
DS11-28143 34 86.36 40.5 2723.63 6.74 31.33 21.57 4.78 16.54
DS11-28144 33 83.82 35.9 2414.28 6.75 32.19 20.88 4.84 11.23
DS11-28145 38 96.52 47.5 3194.38 6.88 32.24 20.63 4.83 12.63
DS11-28146 38 96.52 44.8 3012.8 7.36 31.61 20.71 4.87 13.27
DS11-28149 35 88.9 49.5 3328.88 7.05 33.16 20.55 4.73 19.27
DS11-28150 40 101.6 46.2 3106.95 6.82 31.12 20.55 5 12.32
DS11-28151 38 96.52 49.1 3301.98 6.97 34.13 19.77 4.76 14.56
DS11-28152 38 96.52 43.2 2905.2 6.76 33.35 20.39 4.76 15.36
DS11-28153 43 109.22 47.8 3214.55 6.79 33.16 20.82 4.73 14.87
DS11-28155 42 106.68 43.7 2938.83 6.85 32.48 20.18 4.88 13.18
DS11-28156 32 81.28 50.4 3389.4 6.78 32.23 20.41 4.87 13.18
DS11-28158 32 81.28 43 2891.75 6.78 33.46 20.96 4.66 16.22
LG05-4464 32 81.28 51.5 3463.38 6.22 33.46 20.99 4.69 13.87
DS11-29005 31 78.74 44.8 3012.8 6.6 30.92 21.49 4.86 15.02
DS11-29009 37 93.98 54.8 3685.3 6.37 30.63 21.4 4.92 13.12
DS11-29010 23 58.42 23.3 1566.93 6.37 31.46 21.45 4.82 13.27
DS11-29011 37 93.98 48.1 3234.73 6.33 32.16 21.16 4.79 15.96
DS11-29012 27 68.58 45.2 3039.7 6.3 32.24 21.06 4.81 13.95
DS11-29013 27 68.58 44.9 3019.53 6.38 35.08 20.46 4.54 17.15
DS11-29014 30 76.2 46.8 3147.3 6.26 31.42 21.39 4.82 14.61
DS11-29017 36 91.44 48.7 3275.08 6.29 31.94 21.24 4.77 14.99
DS11-29020 28 71.12 45.1 3032.98 6.36 31.72 21.46 4.79 13.32
DS11-29033 36 91.44 50.3 3382.68 6.32 34.12 20.51 4.67 13.44
DS11-29035 35 88.9 40.9 2750.53 6.22 32.58 21.16 4.82 13.93
DS11-29040 34 86.36 47.1 3167.48 6.22 33.03 20.45 4.85 15.73
DS11-29044 32 81.28 37.3 2508.43 6.21 32.62 21.07 4.81 13.72
DS11-29053 29 73.66 41.1 2763.98 6.02 32.63 20.83 4.84 15.68
DS11-29054 28 71.12 39.8 2676.55 6.07 32.76 20.8 4.78 17.08
DS11-29070 35 88.9 56.4 3792.9 5.98 31.74 21.61 4.74 16.57
DS11-29071 33 83.82 40.4 2716.9 6.02 32.37 21.06 4.87 12.58
DS11-29073 34 86.36 46 3093.5 5.9 30.66 21.37 4.91 16.54
DS11-29074 32 81.28 33.8 2273.05 6.57 34.23 20.49 4.7 13.61
DS11-29078 42 106.68 51.1 3436.48 6.63 31.57 21.14 4.8 16.83
DS11-29080 32 81.28 49.2 3308.7 6.62 32.92 21.17 4.71 15.19
DS11-29081 29 73.66 49.9 3355.78 6.58 33.01 21.78 4.64 15.22
DS11-29082 30 76.2 39.6 2663.1 6.64 34.04 20.93 4.6 16.42
DS11-29084 31 78.74 44 2959 6.58 32.99 21.38 4.67 15.59
DS11-29087 32 81.28 48.2 3241.45 6.52 31.78 21.23 4.82 14.59
DS11-29088 33 83.82 41.9 2817.78 6.39 29.13 22.1 4.95 12.98
DS11-29129 31 78.74 43.1 2898.48 6.28 31.3 21.46 4.83 14.73
DS11-29146 32 81.28 44.2 2972.45 6.73 31.12 21.36 4.83 17.11
DS11-29155 33 83.82 46.6 3133.85 6.67 32.19 21.12 4.77 15.39
DS11-29161 28 71.12 40.1 2696.73 6.49 30.53 22.12 4.82 15.68
DS11-29162 28 71.12 38.3 2575.68 6.81 32.43 21.41 4.67 18.29
DS11-29166 32 81.28 40.6 2730.35 6.53 28.99 22.09 4.93 14.44
DS11-29170 30 76.2 49.5 3328.88 6.63 31.71 20.98 4.85 15.62
LG05-4832 29 73.66 40.7 2737.08 6.6 31.65 20.07 5.02 12.83
DS11-30002 31 78.74 37 2488.25 6.51 31.16 20.79 4.95 13.41
DS11-30003 32 81.28 42.3 2844.68 6.47 33.22 20.47 4.78 16.08
DS11-30004 28 71.12 42.4 2851.4 6.35 32.94 19.65 4.93 13.87
DS11-30005 30 76.2 37.3 2508.43 6.12 30.15 20.53 5.07 13.78
DS11-30006 29 73.66 35.9 2414.28 6.53 29.85 21.46 4.95 14.33
DS11-30007 29 73.66 35.5 2387.38 7 31.05 20.82 4.96 12.86
DS11-30008 29 73.66 39.7 2669.83 6.65 31.75 20.21 4.98 13.01
DS11-30011 33 83.82 35.4 2380.65 6.63 30.2 20.56 5.11 12.58
DS11-30012 31 78.74 42.3 2844.68 7.08 31.67 20.04 4.89 13.01
DS11-30020 32 81.28 39.8 2676.55 6.67 28.35 21.31 5.18 11.63
DS11-30029 34 86.36 33.5 2252.88 6.63 29.8 20.93 5.03 13.5
DS11-30047 32 81.28 34.5 2320.13 6.65 29.99 21.19 5.01 12.58
DS11-30049 33 83.82 41.1 2763.98 6.83 31.67 20.34 4.93 12.52
DS11-30050 30 76.2 38 2555.5 6.79 30.77 20.95 4.93 14.84
DS11-30051 33 83.82 37.9 2548.78 6.77 33.19 19.7 4.87 15.48
DS11-30053 31 78.74 43.5 2925.38 6.59 29.82 21.28 4.97 14.21
DS11-30054 31 78.74 41.4 2784.15 6.73 30.99 21.14 4.84 17.06
DS11-30055 35 88.9 50.2 3375.95 7 32.04 20.92 4.79 18.06
DS11-30060 36 91.44 40.6 2730.35 6.71 31.59 20.98 4.88 15.19
DS11-30061 35 88.9 36.1 2427.73 6.81 32.26 20.32 4.88 13.78
DS11-30062 34 86.36 38 2555.5 6.71 31.02 20.72 5.01 12.58
DS11-30063 37 93.98 47 3160.75 6.73 30.63 20.5 5.03 13.38
DS11-30065 37 93.98 39.3 2642.93 6.77 31.9 19.21 5.08 11.28
DS11-30066 26 66.04 28.2 1896.45 6.58 31.77 21.56 4.77 15.56
DS11-30068 33 83.82 40.8 2743.8 6.6 30.18 20.58 5.09 13.01
DS11-30071 24 60.96 32 2152 6.62 29.59 21.43 4.97 14.13
DS11-30072 32 81.28 37.6 2528.6 6.67 31.72 20.77 4.86 14.7
DS11-30073 35 88.9 38.4 2582.4 6.49 30.8 20.97 4.94 12.75
DS11-30074 29 73.66 40.6 2730.35 6.49 29 20.99 5.14 12.17
DS11-30075 28 71.12 31.7 2131.83 6.46 30.04 21.37 4.98 12.89
DS11-30076 28 71.12 38.5 2589.13 6.44 29.76 20.84 5.01 14.96
DS11-30078 25 63.5 32.9 2212.53 6.45 30.93 20.53 5.02 13.35
DS11-30086 33 83.82 44.9 3019.53 6.73 31.93 20.57 4.92 13.24
DS11-30091 29 73.66 42.7 2871.58 6.14 32.02 20.83 4.88 14.33
DS11-30092 35 88.9 44.2 2972.45 6.02 31.19 20.94 4.95 15.5
LG90-2550 29 73.66 43.4 2918.65 6.68 32.85 19.6 4.92 13.01
DS11-31008 26 66.04 33.1 2225.98 6.52 30.73 20.62 5.04 13.9
DS11-31013 26 66.04 33.9 2279.78 6.24 32.39 20.25 4.87 14.64
DS11-31014 23 58.42 40.7 2737.08 6.43 32.57 20 4.92 13.52
DS11-31015 27 68.58 33 2219.25 6.42 32.11 19.61 5.04 10.82
DS11-31020 24 60.96 36.3 2441.18 6.15 33.05 21.13 4.7 17.29
DS11-31039 22 55.88 28.2 1896.45 6.76 32.62 21.03 4.77 13.41
DS11-31042 24 60.96 35.7 2400.83 6.78 29.76 21.25 4.98 13.84
DS11-31044 26 66.04 33.5 2252.88 6.76 31.87 21.2 4.82 15.3
DS11-31047 25 63.5 37.7 2535.33 6.78 32.7 20.06 4.88 12.72
DS11-31053 27 68.58 38 2555.5 6.76 34.6 19.73 4.7 16.62
DS11-31055 25 63.5 39.8 2676.55 6.87 32.27 20.27 4.86 15.05
DS11-31062 19 48.26 29.6 1990.6 6.89 32.52 20.74 4.74 17.26
DS11-31063 27 68.58 37.1 2494.98 6.73 31.37 20.54 4.95 12.92
DS11-31067 21 53.34 32.6 2192.35 6.41 31.01 20.6 4.98 12.78
DS11-31070 22 55.88 34.1 2293.23 6.08 28.06 21.69 5.11 11.97
DS11-31076 24 60.96 30 2017.5 6.7 29.76 20.89 5.02 12.32
DS11-31080 25 63.5 32.9 2212.53 6.69 31.31 20.39 4.98 12.98
DS11-31082 27 68.58 36 2421 6.65 30.87 20.81 4.94 12.17
DS11-31083 25 63.5 30.9 2078.03 6.76 31.52 21.21 4.86 13.06
DS11-31091 23 58.42 28.2 1896.45 6.76 28.57 20.8 5.19 11.92
DS11-31092 28 71.12 37.4 2515.15 6.54 28.85 21.79 5.02 12.63
DS11-31095 23 58.42 30 2017.5 6.5 30.41 21.51 4.9 16.25
DS11-31097 22 55.88 32.4 2178.9 6.59 32.71 20.87 4.76 14.39
DS11-31098 24 60.96 31.3 2104.93 6.78 31.27 20.18 4.99 13.09
DS11-31102 19 48.26 29.5 1983.88 6.44 30.22 20.78 5.03 13.32
DS11-31103 18 45.72 30.1 2024.23 6.27 29.86 21.73 4.98 13.52
DS11-31104 22 55.88 33 2219.25 6.4 32.95 20.53 4.78 15.02
DS11-31105 26 66.04 38.5 2589.13 6.38 30.38 21.44 4.9 12.69
DS11-31106 27 68.58 33 2219.25 6.37 32.37 20.81 4.85 14.56
DS11-31108 19 48.26 26.9 1809.03 6.15 29.32 21.82 5.04 12.38
DS11-31110 23 58.42 31.8 2138.55 6.17 32.27 20.35 4.96 12.03
DS11-31111 27 68.58 28.3 1903.18 6.22 30.56 20.6 5.07 13.18
LG92-1255 29 73.66 49.4 3322.15 6 32.09 21.51 4.77 14.76
DS11-32002 30 76.2 38.4 2582.4 5.96 30.81 21.59 4.89 13.47
DS11-32003 31 78.74 33.5 2252.88 5.83 30.38 21.47 5.01 13.04
DS11-32007 32 81.28 39.9 2683.28 6.73 31.76 20.85 4.91 12.81
DS11-32008 28 71.12 37.1 2494.98 6.87 32.24 21.12 4.75 16.34
DS11-32011 28 71.12 40.6 2730.35 5.72 30.52 21.78 4.93 15.05
DS11-32014 26 66.04 33 2219.25 5.83 31.84 21.18 4.84 15.62
DS11-32019 34 86.36 45.3 3046.43 5.77 31.24 21.44 4.91 12.2
DS11-32020 36 91.44 43 2891.75 5.99 30.3 21.36 4.96 12.46
DS11-32021 29 73.66 38.8 2609.3 5.79 31.19 21.05 5 13.44
DS11-32022 33 83.82 41.3 2777.43 5.73 31.69 21.49 4.83 15.68
DS11-32024 30 76.2 34.9 2347.03 5.79 30.95 21.7 4.84 14.39
DS11-32026 31 78.74 36.8 2474.8 5.81 32.42 21.21 4.82 13.72
DS11-32029 27 68.58 34.7 2333.58 5.62 31.58 21.26 4.89 16.11
DS11-32031 28 71.12 32.8 2205.8 6.27 31.05 21.41 4.85 14.87
DS11-32032 31 78.74 40.1 2696.73 6.31 31.02 21.64 4.8 14.36
DS11-32034 29 73.66 41.5 2790.88 6.21 32.1 21.38 4.73 17.17
DS11-32039 31 78.74 40.7 2737.08 6.06 30.39 21.85 4.92 13.27
DS11-32041 30 76.2 39.1 2629.48 6.6 34.47 20.75 4.57 14.61
DS11-32043 33 83.82 34.3 2306.68 6.3 34.05 20.47 4.71 14.56
DS11-32045 35 88.9 42.9 2885.03 6.15 32.9 21.63 4.66 15.94
DS11-32048 34 86.36 41 2757.25 6.2 33.62 21.11 4.67 15.05
DS11-32049 31 78.74 48.2 3241.45 6.19 33.4 21.23 4.65 16.25
DS11-32050 38 96.52 39.5 2656.38 6.24 34.27 21.18 4.58 14.04
DS11-32051 35 88.9 44.1 2965.73 6.61 34.24 20.98 4.59 15.88
DS11-32053 34 86.36 38.3 2575.68 6.12 34.13 20.33 4.71 13.18
DS11-32057 32 81.28 37.1 2494.98 5.75 32.94 20.91 4.81 12.98
DS11-32059 35 88.9 37 2488.25 6.43 33.88 20.79 4.63 16.28
DS11-32060 37 93.98 42 2824.5 6.52 34.88 20.28 4.62 14.24
DS11-32063 30 76.2 41.9 2817.78 6.4 33.56 21.54 4.59 15.73
DS11-32064 31 78.74 38.2 2568.95 6.41 32.8 21.2 4.74 13.32
DS11-32066 29 73.66 38.5 2589.13 6.51 33.38 21.03 4.7 14.3
DS11-32068 37 93.98 41.9 2817.78 6.49 34.14 20.79 4.65 14.1
DS11-32073 33 83.82 45.5 3059.88 7.12 34.98 20.69 4.55 15.96
DS11-32075 33 83.82 37.6 2528.6 6.53 34.97 20.52 4.58 14.79
DS11-32076 36 91.44 41.7 2804.33 7.15 34.57 19.56 4.77 13.06
LG94-1128 30 76.2 44 2959 6.22 34.64 20.05 4.68 12.63
DS11-33007 30 76.2 32.8 2205.8 6.17 35.52 19.99 4.56 15.25
DS11-33009 32 81.28 37.6 2528.6 6.04 34.94 19.98 4.66 12.6
DS11-33011 31 78.74 42.7 2871.58 5.98 36.31 19.54 4.54 15.91
DS11-33014 23 58.42 18.2 1223.95 6.24 35.07 20.83 4.52 15.36
DS11-33026 30 76.2 37.2 2501.7 6.38 36.14 19.3 4.58 13.81
DS11-33028 27 68.58 35.1 2360.48 6.31 34.6 20.62 4.59 14.3
DS11-33034 28 71.12 21.9 1472.78 6.45 34.49 19.96 4.71 13.61
DS11-33036 26 66.04 34.8 2340.3 6.24 32.81 21.19 4.79 14.1
DS11-33043 25 63.5 36.3 2441.18 6.19 33.45 21.35 4.62 15.65
DS11-33049 29 73.66 31.7 2131.83 6.25 34.72 20 4.67 12.89
DS11-33050 28 71.12 34.1 2293.23 6.2 34.01 20.68 4.69 18.26
DS11-33051 29 73.66 30.1 2024.23 6.27 36.34 19.83 4.5 15.16
DS11-33054 28 71.12 35.1 2360.48 6.23 34.65 20.54 4.63 14.93
DS11-33057 31 78.74 38.8 2609.3 6.36 35.1 20.82 4.52 16.57
DS11-33073 29 73.66 31.5 2118.38 5.97 34.36 20.99 4.61 11.8
DS11-33081 29 73.66 37.6 2528.6 5.73 32.41 21.72 4.7 14.64
DS11-33083 28 71.12 33.3 2239.43 6.13 33.44 20.61 4.78 12.78
DS11-33085 28 71.12 37.1 2494.98 6.24 32.89 20.97 4.74 14.07
DS11-33086 32 81.28 29.3 1970.43 6.26 34.91 20.33 4.59 16.57
DS11-33087 31 78.74 38.8 2609.3 6.19 34.57 19.94 4.71 12.26
DS11-33088 36 91.44 42.5 2858.13 6.22 35.02 20.26 4.58 13.81
DS11-33094 31 78.74 37.5 2521.88 6.2 34.38 19.58 4.75 14.21
DS11-33106 27 68.58 42.2 2837.95 5.98 32.45 21.12 4.83 11.54
DS11-33108 30 76.2 32.3 2172.18 5.92 32.54 20.72 4.87 11.89
DS11-33109 37 93.98 42.6 2864.85 6.11 32.48 21.02 4.77 14.56
DS11-33110 33 83.82 36.6 2461.35 6.17 32.89 19.48 4.97 12.03
DS11-33115 30 76.2 34.1 2293.23 6.06 33.12 20.89 4.72 14.61
DS11-33121 26 66.04 29.4 1977.15 5.93 35.22 20.53 4.55 13.93
DS11-33166 26 66.04 33.3 2239.43 5.78 32.81 21.43 4.78 12.83
DS11-33168 27 68.58 32.5 2185.63 5.89 34.39 19.96 4.76 12.15
DS11-33170 34 86.36 33.1 2225.98 6.56 34.38 19.73 4.72 12.69
DS11-33189 32 81.28 44.6 2999.35 6.64 34.02 19.03 4.84 11.46
DS11-33190 34 86.36 40.6 2730.35 6.44 32.17 21.15 4.78 14.59
LG94-1906 30 76.2 45.3 3046.43 6.32 33.88 20.29 4.74 14.36
DS11-34002 36 91.44 37.1 2494.98 6.33 32.3 19.76 5 12.2
DS11-34023 38 96.52 49.5 3328.88 6.13 32.72 20.94 4.78 13.93
DS11-34035 35 88.9 38 2555.5 6.01 31.51 20.62 4.91 13.52
DS11-34041 39 99.06 42.7 2871.58 5.82 33.82 20.42 4.79 12.6
DS11-34060 34 86.36 50.6 3402.85 6.65 33.68 19.87 4.76 15.96
DS11-34070 36 91.44 48.5 3261.63 6.48 30.57 20.9 4.97 14.39
DS11-34081 30 76.2 54.2 3644.95 7.09 32.85 20.36 4.82 15.99
DS11-34082 29 73.66 38.4 2582.4 6.68 31.81 21.81 4.73 15.85
DS11-34103 35 88.9 36.5 2454.63 6.47 31.36 20.84 4.9 15.1
DS11-34106 30 76.2 40 2690 6.39 31.56 20.73 4.97 12.55
DS11-34117 39 99.06 35.9 2414.28 6.32 33.86 19.25 4.9 11.71
DS11-34009 29 73.66 27.4 1842.65 6.15 31.87 20.35 5.02 12.69
DS11-34119 36 91.44 43.7 2938.83 6.1 34.01 20.25 4.76 14.82
DS11-34126 32 81.28 34 2286.5 6.58 35.1 20.41 4.55 14.7
DS11-34132 35 88.9 42.5 2858.13 6.56 33.13 20.52 4.84 13.12
DS11-34135 32 81.28 35.7 2400.83 6.63 34.54 19.9 4.69 13.35
DS11-34137 28 71.12 40.8 2743.8 6.41 32.14 20.85 4.85 15.02
DS11-34138 37 93.98 39 2622.75 6.66 33.46 19.99 4.86 13.41
DS11-34141 34 86.36 41.5 2790.88 6.45 31.8 19.73 5.01 13.41
DS11-34142 30 76.2 30.9 2078.03 6.55 33.47 19.8 4.86 13.41
DS11-34146 32 81.28 50.9 3423.03 6.28 32.55 21.13 4.79 15.13
DS11-34147 29 73.66 43.1 2898.48 6.37 32.8 20.45 4.78 15.45
DS11-34149 34 86.36 32.5 2185.63 6.45 33.76 20.22 4.74 13.52
DS11-34150 32 81.28 49.2 3308.7 6.23 32.97 19.7 4.88 13.98
DS11-34151 35 88.9 46.8 3147.3 6.06 30.94 21.37 4.94 13.78
DS11-34152 33 83.82 39.2 2636.2 6.13 33.12 20.62 4.82 12.15
DS11-34157 31 78.74 30 2017.5 6.05 33.23 20.86 4.75 13.31
DS11-34160 31 78.74 37.4 2515.15 6.21 33.35 20.62 4.78 15.1
DS11-34161 34 86.36 50.8 3416.3 5.99 33.23 21.25 4.71 13.93
DS11-34162 39 99.06 47.6 3201.1 6 33.19 20.52 4.8 15.67
DS11-34164 33 83.82 36 2421 5.85 32.43 21.15 4.78 14.01
DS11-34165 34 86.36 44.8 3012.8 6 33.98 19.23 4.86 14.59
LG97-7012 32 81.28 40.4 2716.9 6.31 34.09 20.45 4.72 17.06
DS11-36002 24 60.96 35.2 2367.2 6.33 34.84 21.11 4.5 17.49
DS11-36005 22 55.88 29.9 2010.78 6.51 35.34 20.66 4.47 16.05
DS11-36008 36 91.44 44.9 3019.53 6.21 32.74 20.56 4.79 16.25
DS11-36010 33 83.82 22.7 1526.58 6.39 34.53 19.81 4.76 15.62
DS11-36011 32 81.28 30.2 2030.95 6.21 32.91 20.86 4.78 15.73
DS11-36014 25 63.5 38.4 2582.4 6.34 36.1 19.94 4.52 20.76
DS11-36015 34 86.36 37.4 2515.15 6.26 33.08 21.24 4.7 14.96
DS11-36016 32 81.28 36.9 2481.53 6.27 33.75 20.32 4.73 17.29
DS11-36020 28 71.12 44.3 2979.18 6.19 33.85 20.73 4.68 15.56
DS11-36024 31 78.74 27.7 1862.83 6.1 34.27 20.15 4.72 14.93
DS11-36028 27 68.58 43.4 2918.65 6.27 35.24 20.14 4.6 16.83
DS11-36031 20 50.8 32.2 2165.45 6.2 34.4 20.42 4.64 18.09
DS11-36035 32 81.28 34.2 2299.95 6.04 34.97 20.3 4.63 16.83
DS11-36036 32 81.28 38.8 2609.3 6.24 34.9 20.44 4.58 16.51
DS11-36037 23 58.42 33.1 2225.98 6.39 34.4 20.78 4.66 15.28
DS11-36039 33 83.82 41.5 2790.88 6.61 35.19 20.33 4.58 16.31
DS11-36043 27 68.58 37.4 2515.15 6.75 36.12 19.97 4.5 17.31
DS11-36045 33 83.82 39.5 2656.38 7.09 34.26 20.39 4.66 16.42
DS11-36047 32 81.28 29.9 2010.78 6.71 34.6 20.66 4.59 15.33
DS11-36055 26 66.04 26.4 1775.4 6.73 35.66 20.65 4.49 15.39
DS11-36085 34 86.36 42.4 2851.4 6.49 33.55 21.18 4.66 16.19
DS11-36091 29 73.66 31.2 2098.2 6.52 34.66 20.9 4.54 16.37
DS11-36092 35 88.9 36.3 2441.18 6.43 34.76 21.18 4.48 17.31
DS11-36096 30 76.2 36.3 2441.18 6.56 35.48 20.05 4.55 15.28
DS11-36106 36 91.44 36.7 2468.08 6.23 34.02 20.77 4.63 14.79
DS11-36107 41 104.14 41 2757.25 6.09 33.94 20.06 4.76 17.66
DS11-36108 25 63.5 30.9 2078.03 6.39 33.47 20.59 4.7 13.61
DS11-36111 27 68.58 27 1815.75 6.08 34.45 20.41 4.66 15.02
DS11-36120 22 55.88 28.4 1909.9 6.54 34.26 20.79 4.59 15.48
DS11-36127 32 81.28 32.3 2172.18 6.62 33.39 20.49 4.74 14.64
DS11-36135 33 83.82 37.7 2535.33 6.67 34.95 20.09 4.62 15.25
DS11-36137 33 83.82 37.7 2535.33 6.67 33.8 20.57 4.69 15.16
DS11-36152 21 53.34 29.2 1963.7 6.65 35.11 20.02 4.62 17.51
DS11-36153 31 78.74 30.7 2064.58 6.61 34.33 20.85 4.57 17.69
DS11-36155 29 73.66 35.3 2373.93 6.62 35.37 19.48 4.64 16.4
LG98-1605 37 93.98 59.2 3981.2 6.26 33.53 20.64 4.71 14.24
DS11-37061 30 76.2 39.6 2663.1 6.27 32.59 20.95 4.8 14.1
DS11-37062 28 71.12 35.4 2380.65 6.73 34.74 20.62 4.58 15.39
DS11-37016 32 81.28 43.1 2898.48 6.05 32.29 21.29 4.76 13.72
DS11-37064 27 68.58 30.5 2051.13 5.98 32.75 21.14 4.75 13.21
DS11-37065 33 83.82 58.6 3940.85 6.02 33.55 20.02 4.79 16.88
DS11-37067 35 88.9 42.8 2878.3 6.36 33.17 19.63 4.93 15.13
DS11-37068 42 106.68 44.8 3012.8 6.69 33.29 20.28 4.77 16.19
DS11-37075 36 91.44 47.9 3221.28 6.75 32.95 19.97 4.84 13.18
DS11-37077 37 93.98 58.6 3940.85 7.69 33.89 19.48 4.81 16.05
DS11-37081 29 73.66 32.7 2199.08 6.48 34.67 20.96 4.53 13.9
DS11-37083 38 96.52 52.2 3510.45 6.75 32.4 20.1 4.85 14.3
DS11-37084 37 93.98 59.7 4014.83 6.58 31.05 20.64 4.96 14.21
DS11-37086 35 88.9 54.1 3638.23 6.33 32.33 20.8 4.83 14.59
DS11-37087 31 78.74 40.3 2710.18 6.65 33.54 21.03 4.62 16.77
DS11-37088 28 71.12 39.4 2649.65 6.65 34.48 20.47 4.63 13.01
DS11-37089 32 81.28 34.9 2347.03 6.26 35.03 20.51 4.56 13.84
DS11-37090 43 109.22 59.2 3981.2 6.18 30.3 21.04 5.06 13.27
DS11-37092 39 99.06 51.1 3436.48 6.29 34.49 20.25 4.64 19.11
DS11-37095 38 96.52 45 3026.25 6.14 31.85 20.68 4.9 13.38
DS11-37097 30 76.2 49.5 3328.88 6.12 34.09 20.84 4.63 13.67
DS11-37099 40 101.6 56.8 3819.8 6.01 31.74 20.98 4.88 13.72
DS11-37100 29 73.66 47.2 3174.2 6.1 32.13 20.49 4.9 13.67
DS11-37040 32 81.28 45.9 3086.78 6.48 34.39 19.59 4.78 14.5
DS11-37131 24 60.96 39.1 2629.48 6.16 35.29 20.07 4.61 17.97
DS11-37142 32 81.28 38 2555.5 6.06 34.04 20.6 4.69 14.01
DS11-37145 30 76.2 37.6 2528.6 6.1 33.17 20.35 4.88 12.66
DS11-37150 28 71.12 34.9 2347.03 5.98 33.65 21.01 4.68 16.57
DS11-37153 27 68.58 38.1 2562.23 6.26 35.13 20.13 4.61 15.48
DS11-37154 31 78.74 38 2555.5 6.23 34.28 20.94 4.59 12.95
DS11-37155 40 101.6 42.5 2858.13 6.46 33.96 19.25 4.9 13.09
DS11-37156 27 68.58 32.7 2199.08 6.44 35.04 20.72 4.54 15.68
DS11-37160 32 81.28 40.4 2716.9 6.63 33.51 20.9 4.68 16.65
LG00-3372 28 71.12 34.6 2326.85 6.44 35.13 18.87 4.74 13.7
DS11-38001 40 101.6 39.9 2683.28 6.34 33.22 19.74 4.89 10.65
DS11-38002 34 86.36 37.4 2515.15 6.96 34.69 19.1 4.8 14.33
DS11-38003 34 86.36 31.1 2091.48 6.45 33.53 19.71 4.84 12.55
DS11-38005 34 86.36 39.8 2676.55 6.28 32.45 20.56 4.84 16.14
DS11-38006 29 73.66 38.9 2616.03 6.4 34.89 19.64 4.67 14.44
DS11-38008 30 76.2 30 2017.5 6.33 32.38 20.32 4.87 13.61
DS11-38009 33 83.82 42.2 2837.95 6.3 32.54 20.09 4.9 15.1
DS11-38010 32 81.28 34.7 2333.58 6.29 33.57 19.9 4.81 13.5
DS11-38011 38 96.52 47.3 3180.93 6.57 33.15 20.06 4.81 14.73
DS11-38013 30 76.2 30.4 2044.4 6.3 33.79 19.55 4.85 12.66
DS11-38014 31 78.74 36.6 2461.35 6.16 32.84 20.4 4.8 14.61
DS11-38015 32 81.28 33 2219.25 6.27 36.03 19.05 4.62 15.71
DS11-38016 32 81.28 41.1 2763.98 6.14 34.33 19.9 4.71 13.58
DS11-38017 34 86.36 39.5 2656.38 6.12 31.59 20.35 4.98 13.67
DS11-38018 44 111.76 46 3093.5 6.28 32.55 19.96 4.89 15.62
DS11-38019 30 76.2 35.2 2367.2 6.23 34.87 19.6 4.7 14.56
DS11-38020 33 83.82 36 2421 6.27 35.61 19.77 4.59 15.19
DS11-38021 33 83.82 37.9 2548.78 6.2 32.04 20.87 4.83 13.24
DS11-38022 31 78.74 37.1 2494.98 6.26 32.68 20.44 4.86 12.92
DS11-38023 31 78.74 36.1 2427.73 6.67 34.51 19.79 4.69 13.5
DS11-38024 33 83.82 32.2 2165.45 6.33 33.97 20.61 4.66 16.08
