Corrected_Strain Ht_.in. Ht_.cm. Yld_.bu.a. Yld_.kg.ha. Moisture Protein Oil Fiber X100_sdwt_.g.
DS11-05017 28 71.12 33 2219.25 6.78 33.04 20.09 4.83 13.06
DS11-05018 28 71.12 43.9 2952.28 6.9 34.23 19.69 4.77 14.67
DS11-05021 29 73.66 37.9 2548.78 6.89 34.92 19.42 4.71 14.1
DS11-05023 28 71.12 34.4 2313.4 6.79 30.7 20.81 5.01 11.57
DS11-05025 33 83.82 39.4 2649.65 7.24 35.24 19.43 4.67 12.81
DS11-05027 32 81.28 35.1 2360.48 6.74 34.16 20.13 4.72 12.69
DS11-05028 26 66.04 38 2555.5 6.74 30.83 20.84 5.04 11
DS11-05029 29 73.66 28.2 1896.45 6.68 32.18 20.81 4.87 12.06
DS11-05030 29 73.66 38.4 2582.4 6.8 33.65 20.36 4.75 13.41
DS11-05035 30 76.2 46.5 3127.13 6.69 33.95 20.44 4.69 16.42
DS11-05036 28 71.12 40.2 2703.45 6.66 33.91 20.72 4.66 12.75
DS11-05037 28 71.12 35.6 2394.1 6.96 33.06 20.88 4.74 12.17
DS11-05039 24 60.96 30.2 2030.95 6.81 33.16 21.24 4.71 12.6
DS11-05040 30 76.2 36.7 2468.08 7.2 36.05 19.3 4.6 12.86
DS11-05041 32 81.28 41.3 2777.43 7.14 33.41 20.38 4.74 11.54
DS11-05042 31 78.74 36.3 2441.18 6.97 32.06 20.66 4.97 11.34
DS11-05043 30 76.2 35.7 2400.83 7.14 33.09 20.23 4.81 11.92
DS11-05044 27 68.58 38.9 2616.03 7.29 32.55 20.61 4.81 12.69
DS11-05046 25 63.5 32.8 2205.8 7.16 32.45 20.89 4.76 12.23
DS11-05047 30 76.2 39 2622.75 7.1 31.43 21.32 4.84 12.17
DS11-05048 28 71.12 38.1 2562.23 7.23 31.73 21.2 4.82 12.78
CL0J173-6-8 30 76.2 47 3160.75 7.61 35.08 19.18 4.69 13.38
DS11-06001 33 83.82 46.8 3147.3 7.38 32.86 20.19 4.83 11.71
DS11-06002 28 71.12 30.3 2037.68 8.08 33.21 20.02 4.78 12.78
DS11-06003 30 76.2 45.2 3039.7 7.32 31.2 20.7 4.9 14.9
DS11-06004 34 86.36 40.7 2737.08 8.06 34.97 19.18 4.74 13.09
DS11-06005 31 78.74 44.5 2992.63 6.91 32.5 20.75 4.82 13.12
DS11-06007 30 76.2 57.5 3866.88 6.91 34.9 20.05 4.62 15.59
DS11-06008 28 71.12 53.4 3591.15 7.04 34.54 19.85 4.66 16.42
DS11-06009 33 83.82 49.3 3315.43 7.28 34.46 19.58 4.7 15.1
DS11-06010 31 78.74 49.3 3315.43 7.06 34.5 19.85 4.67 14.82
DS11-06011 32 81.28 43.9 2952.28 7.16 33.27 20.71 4.69 15.48
DS11-06014 34 86.36 42.9 2885.03 7.09 33.1 20.17 4.78 14.21
DS11-06015 32 81.28 57 3833.25 7.01 32.67 20.29 4.83 15.07
DS11-06016 30 76.2 40 2690 7.2 34.59 19.27 4.78 12.09
DS11-06022 31 78.74 40.5 2723.63 7.28 33.56 19.55 4.8 14.5
DS11-06027 31 78.74 36 2421 7.27 33 20.59 4.72 13.64
DS11-06028 31 78.74 44.9 3019.53 7.2 33.52 20.12 4.75 12.98
DS11-06029 32 81.28 53 3564.25 7.08 30.51 21.32 4.84 16.42
DS11-06030 31 78.74 36 2421 7.23 32.12 20.79 4.81 14.21
DS11-06035 31 78.74 54.3 3651.68 7.23 32.95 20.17 4.77 16.94
DS11-06036 31 78.74 38.9 2616.03 7.19 32.95 20.47 4.78 12.83
DS11-06041 32 81.28 51.2 3443.2 7.31 33.13 19.83 4.8 16.02
DS11-06042 32 81.28 49.8 3349.05 7.3 33.38 19.77 4.81 15.13
DS11-06046 33 83.82 40.6 2730.35 7.16 32.97 19.66 4.87 12.89
DS11-06047 28 71.12 49.7 3342.33 7.07 32.82 20.68 4.73 15.48
DS11-06048 27 68.58 45.8 3080.05 6.73 31.38 21.01 4.84 12.98
HS6-3976 31 78.74 44.6 2999.35 7.77 36.63 18.63 4.62 14.41
DS11-08002 39 99.06 51.2 3443.2 7.65 33.99 19.32 4.82 12.58
DS11-08003 34 86.36 47.9 3221.28 7.7 34.1 19.97 4.68 12.35
DS11-08004 42 106.68 50.2 3375.95 7.59 34.02 19.63 4.76 14.39
DS11-08005 39 99.06 49 3295.25 7.88 33.89 19.7 4.77 12.58
DS11-08006 34 86.36 42.4 2851.4 7.46 32.56 20.41 4.85 12.46
DS11-08008 36 91.44 43.2 2905.2 7.8 32.85 20 4.86 12.17
DS11-08009 38 96.52 55.1 3705.48 7.57 34.2 19.44 4.78 13.64
DS11-08010 35 88.9 49.5 3328.88 7.56 33.45 20.02 4.79 12.6
DS11-08011 38 96.52 41.4 2784.15 7.7 34.41 20.15 4.68 15.5
DS11-08012 33 83.82 39.3 2642.93 7.29 33.23 20.9 4.69 14.36
DS11-08013 37 93.98 41.6 2797.6 7.53 33.81 19.7 4.82 12.52
DS11-08014 35 88.9 44.7 3006.08 7.3 33.5 20.18 4.77 13.12
DS11-08016 32 81.28 47.3 3180.93 7.36 33.86 19.57 4.78 14.64
DS11-08017 40 101.6 47.8 3214.55 7.18 33.29 19.88 4.85 12.92
DS11-08018 33 83.82 43.3 2911.93 7.16 35.7 19.4 4.65 13.04
DS11-08019 34 86.36 49.7 3342.33 6.96 31.92 20.45 4.89 14.47
DS11-08020 40 101.6 49.6 3335.6 7.92 35.18 18.89 4.76 13.5
DS11-08021 35 88.9 41.1 2763.98 7.29 33.37 20.62 4.72 13.58
DS11-08022 34 86.36 49.3 3315.43 7.43 33.51 19.89 4.77 13.09
DS11-08023 35 88.9 38 2555.5 7.45 33.98 19.78 4.75 11.4
DS11-08025 39 99.06 52.5 3530.63 7.59 34.6 18.93 4.81 13.12
DS11-08026 34 86.36 51.2 3443.2 7.54 33.02 20.02 4.79 15.13
DS11-08027 35 88.9 43.7 2938.83 7.59 34.05 19.77 4.75 12.35
DS11-08028 30 76.2 40.9 2750.53 7.55 34.19 19.89 4.7 13.78
DS11-08029 35 88.9 48.3 3248.18 7.73 35.51 19.27 4.65 13.78
DS11-08030 39 99.06 49.8 3349.05 7.69 33.11 20.29 4.78 12.72
DS11-08031 34 86.36 49.4 3322.15 7.53 32.46 20.82 4.78 13.72
DS11-08032 31 78.74 44.1 2965.73 7.63 34.47 20.04 4.66 13.09
DS11-08034 42 106.68 40.7 2737.08 7.73 34.8 19.44 4.74 14.64
DS11-08035 40 101.6 50 3362.5 7.73 34.46 19.32 4.75 13.29
DS11-08036 35 88.9 46.2 3106.95 7.63 32.38 20.19 4.9 12.69
DS11-08037 38 96.52 49.9 3355.78 7.69 32.51 19.81 4.9 12.81
DS11-08039 36 91.44 45.3 3046.43 7.53 32.42 21.01 4.72 14.56
DS11-08041 37 93.98 43.8 2945.55 7.6 33.55 20.22 4.76 11.92
Prohio 37 93.98 50 3362.5 6.75 36.49 19.26 4.56 13.75
DS11-09001 35 88.9 57.4 3860.15 6.56 32.64 21.25 4.74 13.38
DS11-09007 38 96.52 43.6 2932.1 6.84 35.26 19.67 4.65 13.64
DS11-09010 41 104.14 50.5 3396.13 6.8 34.6 20.05 4.68 15.05
DS11-09013 40 101.6 44.5 2992.63 6.58 33.93 20.79 4.68 12.66
DS11-09014 35 88.9 41.4 2784.15 6.81 33.68 20.57 4.71 12.06
DS11-09017 44 111.76 52.4 3523.9 6.65 32.93 20.23 4.86 13.72
DS11-09020 36 91.44 43.4 2918.65 6.52 32.58 21.06 4.77 13.87
DS11-09021 35 88.9 43.2 2905.2 6.69 34.79 19.29 4.75 12.81
DS11-09023 33 83.82 40.7 2737.08 6.49 31.69 21.42 4.84 14.01
DS11-09024 32 81.28 49.6 3335.6 6.5 33.74 20.26 4.79 12.43
DS11-09027 39 99.06 45.8 3080.05 6.76 34.22 20.78 4.61 14.33
DS11-09030 43 109.22 45.7 3073.33 6.63 34.25 20.55 4.65 15.13
DS11-09033 40 101.6 41.1 2763.98 6.7 37.14 18.99 4.49 14.61
DS11-09034 39 99.06 53.1 3570.98 6.54 32.68 21.01 4.77 14.04
DS11-09035 38 96.52 38.7 2602.58 6.57 34.97 19.94 4.67 13.64
DS11-09036 41 104.14 54.8 3685.3 6.54 33.52 20.17 4.76 14.9
DS11-09037 39 99.06 47.6 3201.1 6.42 32.78 20.57 4.86 13.58
DS11-09039 38 96.52 44.5 2992.63 6.4 31.43 21.32 4.89 13.58
DS11-09040 41 104.14 37.8 2542.05 6.57 34.14 19.87 4.82 10.65
DS11-09041 34 86.36 44.8 3012.8 6.58 34.12 19.72 4.81 11.23
DS11-09043 35 88.9 52 3497 6.44 31.7 20.96 4.88 13.61
DS11-09047 37 93.98 40.9 2750.53 6.62 32.66 20.56 4.82 14.18
DS11-09049 34 86.36 53.1 3570.98 6.33 33.97 20.32 4.75 13.61
DS11-09050 42 106.68 59.6 4008.1 6.28 34.01 20.54 4.69 16.05
DS11-09053 36 91.44 50.2 3375.95 6.19 34.07 19.87 4.8 12.38
DS11-09055 37 93.98 54.2 3644.95 6.68 34.32 20.37 4.65 14.18
DS11-09056 36 91.44 48.1 3234.73 6.89 33.84 19.71 4.81 11.74
DS11-09059 37 93.98 56 3766 6.86 34.37 19.77 4.73 14.96
DS11-09062 38 96.52 45 3026.25 6.78 31.63 21.22 4.84 14.61
DS11-09063 38 96.52 44.1 2965.73 6.95 33.86 19.53 4.84 13.78
DS11-09065 35 88.9 45.2 3039.7 7.1 34.68 19.82 4.7 13.41
DS11-09066 42 106.68 52.3 3517.18 6.99 32.46 20.06 4.93 12.55
DS11-09068 35 88.9 39.3 2642.93 6.93 33.59 19.89 4.85 12.89
DS11-09069 37 93.98 37.4 2515.15 6.95 33.43 20.54 4.76 12.4
DS11-09070 42 106.68 48.2 3241.45 6.94 34 20.12 4.73 13.5
LD00-3309 29 73.66 41 2757.25 7.16 34.63 19.3 4.75 11.92
DS11-10001 30 76.2 34.6 2326.85 7.08 34.49 19.06 4.85 12.69
DS11-10003 32 81.28 36 2421 6.75 33.4 20.98 4.71 12.98
DS11-10005 24 60.96 30.5 2051.13 6.78 33.38 20.27 4.85 11.14
DS11-10007 30 76.2 32.4 2178.9 6.43 32.45 20.78 4.88 11.37
DS11-10010 27 68.58 35.3 2373.93 6.48 33.55 20.17 4.79 14.36
DS11-10012 32 81.28 41.5 2790.88 6.75 33.23 20.68 4.75 13.95
DS11-10013 30 76.2 30.2 2030.95 6.54 33.87 20.09 4.78 13.35
DS11-10017 30 76.2 36.2 2434.45 6.52 32.72 21.4 4.72 13.15
DS11-10018 30 76.2 41.6 2797.6 6.71 33.34 20.08 4.81 14.64
DS11-10019 29 73.66 38.8 2609.3 6.85 33.94 20.04 4.76 14.36
DS11-10020 28 71.12 34.4 2313.4 6.67 33.55 20.36 4.8 11.2
DS11-10024 30 76.2 27.3 1835.93 6.82 32.7 20.2 4.93 11.6
DS11-10026 31 78.74 29.8 2004.05 6.7 32.93 20.55 4.85 12.17
DS11-10027 29 73.66 34.1 2293.23 6.74 32.95 20.94 4.72 14.1
DS11-10028 31 78.74 37.9 2548.78 6.77 32.19 20.36 4.95 12.81
DS11-10029 33 83.82 43.7 2938.83 6.82 33.16 20.34 4.8 12.09
DS11-10031 27 68.58 30.9 2078.03 6.68 31.36 21.14 4.9 12.81
DS11-10032 32 81.28 38.6 2595.85 6.82 33.2 20.24 4.85 13.41
DS11-10033 28 71.12 39.8 2676.55 6.74 33.16 20 4.87 12.32
DS11-10036 32 81.28 42.7 2871.58 6.78 33.25 20.37 4.82 11.43
DS11-10042 31 78.74 40.4 2716.9 6.87 33.37 19.58 4.9 13.87
DS11-10043 24 60.96 30.7 2064.58 6.87 34.25 19.79 4.78 12.58
DS11-10046 28 71.12 31.9 2145.28 6.99 34.18 19.85 4.75 9.3
DS11-10047 26 66.04 32.3 2172.18 6.78 33.76 20.38 4.76 11
DS11-10048 31 78.74 31.3 2104.93 6.66 33.08 20.04 4.92 10.28
DS11-10051 33 83.82 42.6 2864.85 6.9 34.92 18.82 4.8 12.23
DS11-10052 31 78.74 36.8 2474.8 6.63 33.21 20.68 4.81 12.09
DS11-10054 30 76.2 35.1 2360.48 6.88 31.73 21.44 4.74 12.86
DS11-10055 30 76.2 38.9 2616.03 6.61 33.03 20.35 4.84 12.52
DS11-10056 32 81.28 44.9 3019.53 6.78 32.92 20.09 4.89 15.16
DS11-10057 32 81.28 45.3 3046.43 6.63 32.43 19.82 4.95 14.7
DS11-10060 30 76.2 40.7 2737.08 6.47 31.85 21.69 4.76 13.09
DS11-10062 34 86.36 45.1 3032.98 6.6 33.09 20.83 4.75 13.9
DS11-10063 33 83.82 41.2 2770.7 6.5 34.36 20.35 4.67 14.36
DS11-10065 29 73.66 30.4 2044.4 6.47 33.67 19.57 4.92 10.05
LD01-5907 29 73.66 43.1 2898.48 6.49 32.06 20.66 4.84 12.95
DS11-11005 28 71.12 38.4 2582.4 6.55 34.09 19.65 4.82 14.36
DS11-11006 34 86.36 37.5 2521.88 6.64 32.94 19.76 4.93 12.35
DS11-11007 33 83.82 35.2 2367.2 6.57 31.73 20.39 4.99 12.81
DS11-11008 27 68.58 34.6 2326.85 6.38 32.1 20.43 4.96 12.78
DS11-11009 30 76.2 40.6 2730.35 6.72 33.91 19.46 4.81 11.6
DS11-11011 32 81.28 40.9 2750.53 6.47 31.92 20.32 4.89 11.77
DS11-11013 29 73.66 42.8 2878.3 6.53 33.03 20.34 4.88 13.29
DS11-11014 28 71.12 30.1 2024.23 6.52 31.93 20.52 4.9 10.25
DS11-11015 31 78.74 46.8 3147.3 6.47 32.64 20.59 4.83 13.9
DS11-11016 36 91.44 38.8 2609.3 6.41 32.78 19.94 4.92 12.98
DS11-11017 34 86.36 35.4 2380.65 6.43 34.13 19.43 4.85 10.42
DS11-11018 33 83.82 44.3 2979.18 6.46 33.48 19.97 4.82 14.07
DS11-11021 32 81.28 35.5 2387.38 6.32 32.43 21.07 4.84 11.92
DS11-11022 32 81.28 44.1 2965.73 6.53 33.28 20.37 4.79 12.81
DS11-11025 29 73.66 32.9 2212.53 5.92 33.07 19.95 4.95 11.46
DS11-11027 32 81.28 46 3093.5 6.06 32.68 19.86 4.93 12.4
DS11-11029 34 86.36 42.5 2858.13 5.96 31.9 20.71 4.91 12.86
DS11-11032 30 76.2 34.6 2326.85 6.1 33.82 20.15 4.83 11.66
DS11-11034 34 86.36 46.4 3120.4 6.25 33.28 19.78 4.9 10.74
DS11-11035 36 91.44 47.3 3180.93 6.32 33.61 19.5 4.91 13.24
DS11-11036 37 93.98 38.8 2609.3 6.51 33.95 19.27 4.87 11.63
DS11-11042 34 86.36 43.7 2938.83 6.41 32.55 20.11 4.93 13.15
DS11-11045 32 81.28 37.2 2501.7 6.35 35.49 19.43 4.63 12.35
DS11-11046 29 73.66 33.8 2273.05 6.3 31.42 20.85 5.02 11.51
DS11-11048 34 86.36 40.8 2743.8 6.41 32.36 20.86 4.84 11.92
DS11-11049 30 76.2 44.2 2972.45 6.35 32.57 20.16 4.89 12.46
DS11-11050 31 78.74 38 2555.5 6.5 32.29 20.35 4.93 13.78
DS11-11051 27 68.58 37 2488.25 6.46 32.44 19.91 4.97 12.03
DS11-11054 31 78.74 28.5 1916.63 6.54 32.38 19.87 5 12.23
DS11-11055 29 73.66 37.8 2542.05 6.35 30.68 21.14 4.98 13.93
DS11-11058 30 76.2 37.2 2501.7 6.51 31.01 20.32 5.09 13.38
DS11-11059 29 73.66 45.1 3032.98 6.37 31.51 21.55 4.85 12.35
DS11-11061 30 76.2 30.1 2024.23 6.42 32.97 20.77 4.83 13.04
DS11-11064 27 68.58 31.4 2111.65 6.52 32.91 19.39 4.96 12.15
LD02-4485 34 86.36 44.9 3019.53 6.01 30.98 21.32 4.86 14.33
DS11-12001 32 81.28 44.9 3019.53 6.09 31.34 21.22 4.88 13.27
DS11-12002 35 88.9 46.9 3154.03 6.2 32.62 20.4 4.94 14.76
DS11-12003 36 91.44 53.7 3611.33 6.52 31.61 21.25 4.84 14.53
